timestamp,person_uri,label_clean,search_query,method_id,threshold,accepted,chosen_qid,chosen_label,chosen_description,score,score_reasons,error
2026-05-29T13:56:09.597978+00:00,http://example.org/ontology#adam_ojciec_sebastian_bociankiewicz,Adam Bociankiewicz,Adam Bociankiewicz,heuristic_rules,50.0,False,,,,,brak_kandydatow_po_filtrowaniu,
2026-05-29T13:56:10.866911+00:00,http://example.org/ontology#adam_ojciec_sebastian_bociankiewicz,Adam Bociankiewicz,Adam Bociankiewicz,fuzzy_rerank,50.0,False,,,,,brak_kandydatow_po_filtrowaniu,
2026-05-29T13:56:12.160917+00:00,http://example.org/ontology#adam_ojciec_sebastian_bociankiewicz,Adam Bociankiewicz,Adam Bociankiewicz,phonetic_rerank,50.0,False,,,,,brak_kandydatow_po_filtrowaniu,
2026-05-29T13:56:13.760948+00:00,http://example.org/ontology#adam_ojciec_stanisław_herka_syn_adama,Adam Herka,Adam Herka,heuristic_rules,50.0,False,,,,,brak_kandydatow_po_filtrowaniu,
2026-05-29T13:56:15.028814+00:00,http://example.org/ontology#adam_ojciec_stanisław_herka_syn_adama,Adam Herka,Adam Herka,fuzzy_rerank,50.0,False,,,,,brak_kandydatow_po_filtrowaniu,
2026-05-29T13:57:01.402151+00:00,http://example.org/ontology#adam_ojciec_stanisław_herka_syn_adama,Adam Herka,Adam Herka,phonetic_rerank,50.0,False,,,,,brak_kandydatow_po_filtrowaniu,
2026-05-29T13:57:03.062707+00:00,http://example.org/ontology#adam_ojciec_stanisław_kownacki,Adam Kownacki,Adam Kownacki,heuristic_rules,50.0,False,Q19745920,Adam Kownacki,American boxer,24.0,Pozycja w wynikach wyszukiwania: 1 | P31: człowiek (Q5),
2026-05-29T13:57:04.694292+00:00,http://example.org/ontology#adam_ojciec_stanisław_kownacki,Adam Kownacki,Adam Kownacki,fuzzy_rerank,50.0,False,Q19745920,Adam Kownacki,American boxer,24.0,Pozycja w wynikach wyszukiwania: 1 | P31: człowiek (Q5),
2026-05-29T13:57:06.123184+00:00,http://example.org/ontology#adam_ojciec_stanisław_kownacki,Adam Kownacki,Adam Kownacki,phonetic_rerank,50.0,False,Q19745920,Adam Kownacki,American boxer,24.0,Pozycja w wynikach wyszukiwania: 1 | P31: człowiek (Q5),
2026-05-29T13:57:07.850945+00:00,http://example.org/ontology#adam_ojciec_szymon_mezynskimezinski,Adam Mężyński/Męziński,Adam Mężyński/Męziński,heuristic_rules,50.0,False,,,,,brak_kandydatow_po_filtrowaniu,
2026-05-29T13:57:09.090661+00:00,http://example.org/ontology#adam_ojciec_szymon_mezynskimezinski,Adam Mężyński/Męziński,Adam Mężyński/Męziński,fuzzy_rerank,50.0,False,,,,,brak_kandydatow_po_filtrowaniu,
2026-05-29T13:57:10.312763+00:00,http://example.org/ontology#adam_ojciec_szymon_mezynskimezinski,Adam Mężyński/Męziński,Adam Mężyński/Męziński,phonetic_rerank,50.0,False,,,,,brak_kandydatow_po_filtrowaniu,
